index,sentiment,text
3782,Positive,"RT @DylanTheThomas: never thought I'd say this but goddamnit I am. Yo, @MegynKelly, Chris Wallace, @BretBaier... Great job hosting the #GOP…"
3783,Negative,"It's disturbing to watch #Trump being applauded after he admits calling women fat, pigs, disgusting animals. #GOPDebate #Election2016 #WoW"
3784,Negative,"Man, these guys really LOVE vomiting out numbers. #GOPDebates"
3785,Negative,Posting this at the risk of enflaming the situation.  It's worth a read.  #GOPDebate #TNGOP http://t.co/MPFcHUIRT6
3786,Negative,#trump uses money just like #obama uses race. #GOPDebate #FoxNews Whats the difference?
3787,Negative,"@rushlimbaugh is making a great point. When the NY Times, CNN, et al sing the praises of the #GOPDebate moderators, you know it was bad."
3788,Negative,"RT @marymauldin: Dig into everyone's financials if you are doing that to #Trump ! 
#GOPDebates"
3789,Positive,"RT @RWSurferGirl: @tedcruz and @realDonaldTrump need to take control of this debate,  they can do it, 🇺🇸 #GOPDebate  #GOPDebates"
3790,Positive,RT @RWSurferGirl: Ask Trump a legitimate question. Look at Wallace's face when Trump nails it. 🇺🇸 #GOPDebate  #GOPDebates
3791,Positive,RT @Beem_Skeem: #GOPDebate JUSTICE IN AMERICA #SANDRABLAND #BlackLivesMatter http://t.co/r0xXbgvQb3
3792,Negative,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
3793,Negative,RT @mozgovaya: 10 men on stage discussing one woman. @HillaryClinton #GOPdebates
3794,Negative,Very obvious last night that @FoxNews wants Bush to win. Gave him softballs all night long. #NoCredibility #GOPDebate
3795,Negative,"Consensus from #GOPdebate: Several big winners, no real losers, yet everyone holds place--except Fiorina. What?! What's the math there?"
3796,Positive,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
3797,Negative,"RT @sallykohn: Good night, America. I hope you sleep well.  

I myself will be having nightmares about our future if any of #GOPDebate cand…"
3798,Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
3799,Negative,RT @AnthonyCumia: Waiting for Trump to speak while listening to other candidates drivel is like sitting through Air Supply waiting for Led …
3800,Positive,RT @CalebBonham: @RandPaul's shut down of @ChrisChristie will go down as one of the best lines in debate history #GOPDebate
3801,Negative,@FoxNews shutting @SenTedCruz out of debate. Has not spoken In 30 minutes. Has to beg them for a chance to say anything !   #GOPDebates
3802,Negative,"RT @FrankConniff: Fox News #GOPDebate interviewer to candidates: ""What's your take on these GOP talking points I'm feeding you?"""
3803,Negative,"Would we be talking abt ""political correctness"" if @realDonaldTrump was referring to POC instead of women? #GOPDebate #equality"
3804,Positive,@Slate #GOPDebates Our president should be less like #TedCruz
3805,Negative,I don't know about anyone else but think last night #GOPDebate on @msnbc was a BIG flop without @maddow @Lawrence &amp; @chrislhayes #Boycott
3806,Positive,RT @BernardGoldberg: Donald the real RINO in the race. But he doesn’t mean it. http://t.co/9BaQOqpXoN #GOPDebate
3807,Positive,"RT @Lrihendry: #TedCruz headed into the Presidential Debates. GO TED!! 

#GOPDebates http://t.co/8S67pz8a4A"
3808,Positive,RT @Lisa_Luerssen: 1st place Fiorina. 2nd place Jindal. #GOPDebates
3809,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3810,Positive,Unborn lives are more important. That's what these men are saying #GOPDebates
3811,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
3812,Negative,"Remind me again, is it the winners that complain about the officiating #GOPDebate"
3813,Negative,RT @darebaredaisy: WHY ARE WE TALKING ABOUT GOD IN A P O L I T I C A L DEBATE #GOPDebate #DebateWithBernie
3814,Negative,"RT @SaraLang: My skin literally crawls every single time someone says ""an illegal."" Who taught you to be so damn hateful? #GOPDebate"
3815,Negative,"RT @pattonoswalt: ""...and...and...God."" Holy shit. @megynkelly just summed up the entire Republican Party. #GOPDebate"
3816,Negative,My greatest takeaway from the #GOPDebate is the format stinks. Eliminate the moderator questions. Let the candidates actually debate.
3817,Negative,I hope people aren't so reality tv exposed that they only love that Paul and Christi raised voices.  #GOPDebates
3818,Negative,"RT @cmclymer: Yes, folks. You heard him right: if a woman is raped, she has to keep the baby. 

#GOPDebate"
3819,Negative,"RT @SupermanHotMale: Translation, Jeb Bush, I fucked Florida schools so badly they still have not recovered. That is the truth, I live here…"
3820,Negative,"#GOPDebate Losers

Conservatives Hand Success
2
@GOP Establishment / @FoxNews Rinos
And ...
They Bite The Hand!! https://t.co/cTBK93v0HO"
3821,Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
3822,Negative,RT @TinyMuslimah: Everybody wanna be a Jesus freak till it's time to feed the poor. #GOPDebate
3823,Positive,"RT @RWSurferGirl: @tedcruz and @realDonaldTrump need to take control of this debate,  they can do it, 🇺🇸 #GOPDebate  #GOPDebates"
3824,Negative,RT @AshvsEvilDead: Some kind of debate is going on. Meanwhile we're debating over the best drum solo of all time: Hot for Teacher or Tom Sa…
3825,Negative,@realDonaldTrump cries after the #GOPDebate The preschooler cant stand that a WOMAN brought him down. Hes a disgusting pig. #DropOutAsshole
3826,Negative,"RT @RWSurferGirl: I am wondering what Fox is up to with THIS debate -- get rid of Trump, Paul, Cruz, Carson? 🇺🇸 #GOPDebates  #GOPDebate"
3827,Positive,"RT @KentPavelka: Three best performance in the #GOPDebates (in no order), IMHO:  Carly Fiorina &amp; Ben Carson &amp; Marco Rubio."
3828,Negative,#GOPDebate was so much fun Isurfed around bot always ended up back there. All the non thinkers in one place
3829,Negative,"RT @AnnemarieWeers: @PoetinPoeville Did you know there are aprx 700 laws governing women's bodies and not one governing men's? It's true.
#…"
3830,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
3831,Positive,I'd say Bush and Kasich came out of last nights debate quite well. They seem more moderate compared to others? #GOPDebate
3832,Negative,I'd rather have a boxing match &amp; let the winners advance. That'd be so much more entertaining than tailored questions. #GOPDebates
3833,Negative,Congratulating himself for at least coming off better than one other person in these fucking #GOPDebates? Yup
3834,Negative,RT @TheBaxterBean: N.J. Credit Rating Was Downgraded Record 9 Times Under Chris Christie's Leadership http://t.co/tcE2dNEUcy #GOPDebate htt…
3835,Positive,RT @hilderestad: Republican strategist @FrankLuntz 's focus group during #GOPDebate ended up decidedly not liking Trump by end of debate.
3836,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
3837,Negative,"RT @ShaynaUniverse: Was it me, or did the panel at last night's #GOPDebate seem a little... snide? @realDonaldTrump @RealBenCarson @kirstie…"
3838,Negative,Is @FoxNews going to ask #Trump2016 any more POLICY questions? Or just character smears? #GOPDebate #GOPDebates #MakeAmericaGreatAgain
3839,Negative,RT @gnudarwin: Is Trump The Democrat ‘Wolf’ In GOP Clothing?  http://t.co/EBwX3o9OeU #standwithrand #gopdebate
3840,Positive,Mike Huckabee quoting Limp Bizkit lyrics for his military talking points #BreakStuff #GOPDebates
3841,Negative,"RT @dugovich: Look, my Dad was a poor piece of shit. So, you know, I get it. #GOPDebate"
3842,Negative,These politicians and former government employees really hate politicians and government. #GOPdebates
3843,Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
3844,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3845,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3846,Positive,#GOPDebate was swag. Let's go Trump! Lolololol
3847,Negative,RT @RWSurferGirl: A big problem facing Democrats will be how to get Hillary sober long enough for her to debate? #toot #GOPDebates
3848,Negative,Reminder: Bush #GOPDebates you run FLORIDA
3849,Negative,RT @FierceFemtivist: Rand Paul went to #Ferguson...and #Baltimore?? Which Riot shield were you holding bruh?! #GOPDebate
3850,Positive,"RT @madisongesiotto: ""We've got to unite our country again because we are stronger when we are united"" @JohnKasich @FoxNews #GOPDebate"
3851,Positive,"#Fiorina is presidential material.  Looking forward to seeing her surge.
#GOPDebate"
3852,Negative,"RT @RWSurferGirl: Rubio and Bush are a threat to this country, 🇺🇸 #GOPDebate  #GOPDebates"
3853,Negative,RT @tamaraholder: This makes me laugh! https://t.co/03ypLNFagb #GOPDebate #DonaldTrump
3854,Negative,"It must be awful living with the paranoid worldview presented at the #GOPDebate.  These guys need therapy, not public office."
3855,Negative,"RT @JebBush: ""Challenging the teacher's unions and beating them is the way to go."" – Jeb http://t.co/5ImGwdRL4G #GOPDebate"
3856,Negative,MSNBC should host the #GOPDebates and Fox News should have the Dems. Then you'd get to watch Megan Kelly's brain explode on live TV.
3857,Negative,"RT @Tombx7M: Will someone please tell Megyn it's not about her.
#kellyfile #GOPDebate"
3858,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
3859,Negative,You have no clue what silent majority is thinking.Your mindset comes frm 2% of pop. You're out of touch. #GOPDebate  https://t.co/mNVfxqEvMk
3860,Negative,9 gifted politicians. One broken party. And Trump. @jbview http://t.co/2pdDvLim2u via @BV #GOPDebate
3861,Negative,"""My record is clear. I hate women who want affordable birth control and STD screenings."" #GOPDebates"
3862,Negative,RT @SimSoph: Quite something to watch the #GOPDebate vs the Canadian PM debate. How can anyone take American politicians seriously?
3863,Negative,You screwed Atlantic City more ways than the Kama Sutra with Trump Taj Mahal. #GOPDebates
3864,Negative,@Pedinska Absolutely. Sane Twitter was *MOST* entertaining last nite. Moar #GOPDebate please! @Terry5135
3865,Negative,@iDanielTX Have any of the democrat candidates pledged to secure a future and homeland for whites? #GOPDebates http://t.co/1SaWLh33hl
3866,Negative,When Ben Carson  talks about race. #GOPDebates http://t.co/noxpKanwSX
3867,Negative,RT @Ben_Herring1017: Saying you're a Cold War vet is like saying you were a player in a really big game that got rained out #GOPDebate
3868,Negative,People of the #GOPDebate last night denying they support rape/incest exception like its a bad thing... #thisissobackwards
3869,Negative,Republicans admit science is real. Why is this even news?!! #GOPDebate
3870,Negative,RT @cristela9: Trump looks like an Oompa Loompa that made something out of himself... #GOPDebate
3871,Negative,The black man wants to destroy the country! HE SAID SO HIMSELF! JUST LIKE THE CURRENT BLACK PREZ #GOPDebates
3872,Negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
3873,Negative,@maureenjohnson based on your Tweets I'm slightly thankful I skipped the #GOPDebate yesterday evening
3874,Positive,"According to ratings today it seems Rubio won the #GOPDebate and I am super pumped. Young, Latino guy is a great image for the new GOP :)"
3875,Negative,RT @themadstone: Bummed that we didn't get to watch a single candidate flounder over climate change #GOPDebate
3876,Positive,"Fairly confident after #bencarson's last answer, he's playing the #gopdebates drinking game along with the rest of us."
3877,Negative,RT @GallagherPreach: It is just me or can anyone else not wait for SNL this weekend for the debate coverage? #GOPdebates #GOPdebate
3878,Negative,How did Fox manage to suck its own dick while giving a rim job to Facebook and jerking off Donald trump at the same time? #GOPDebate
3879,Positive,@foxandfriends @realDonaldTrump would have been nice if u would have let the 92yr. speak instead of interrupting her! #GOPDebate
3880,Positive,"RT @BiasedGirl: Thank you, @megynkelly for exposing Donald Trump as the fraud he is. Thank You. 

#GOPDebate #DumpTrump"
3881,Negative,"RT @MzDivah67: From watching the #GOPDebates it seems to me like #BlackLivesDontMatter  Bashing PBO over his ""failed policies"" is more impo…"
3882,Negative,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP"
3883,Positive,RT @Sweetpea593: #GOPDebates they won't let #TedCruz speak!
3884,Negative,"RT @GeneMcVay: #GOPDebate Billy Graham said if God doesn't punish America He should apologize to Sodom &amp; Gomorrah. 

Pray is banned, baby p…"
3885,Negative,"""I don't have time to be politically correct, but I do have time to be aggressively awful"" -Donald Trump #GOPDebate"
3886,Negative,I can't wait to not remember all these bros names. #GOP #GOPDebate #GOP2016 #ClownCar #GOPDebates
3887,Positive,RT Cheryl_Now: Amen! This gentleman definitely has my vote. Love him and what he stands for. #GOPDebate #onpoint #… https://t.co/aNzmdIOrVe
3888,Positive,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
3889,Negative,"So FoxNews just shut down the debate stream on SKY. 
Just a little controlling are we?

#GOPDebates"
3890,Negative,I think we should call what #foxnews did to #trump last night the #humptrump campaign. #gopdebate
3891,Negative,Fox News loves to loathe Trump: It's money in the bank as ratings for the #GOPDebate demonstrate. CNN working overtime to maintain momentum
3892,Negative,"Please tell @realDonaldTrump there is a difference between being a ""honest"" and being a verbally abusive asshole. #Bernie2016 #GOPDebate"
3893,Negative,"RT @RWSurferGirl: I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebat…"
3894,Negative,RT @MattGoldich: Not one other candidate willing to take a hard line on Rosie O'Donnell. Shameful. #GOPDebate
3895,Negative,"RT @Mariacka: Newsflash, JEB - You won't unite the country with #CommonCore. Please!  LOL! #GOPDebates"
3896,Positive,"RT @AllenWestRepub ""Twitter declares @CarlyFiorina the #GOPDebate winner  "" http://t.co/lX0RkaHzMQ"
3897,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
3898,Negative,"RT @larryelder: Trump should have said, ""Megyn, ask these nine candidates, if they plan to support ME when I win the nomination.""
#GOPDebat…"
3899,Negative,"American women take note: When @@realDonaldTrump justified his piggish attacks on women at the #GOPDebate, not 1 man on stage called him out"
3900,Negative,#GOPDebate @RandPaul so when 'the government tries to invade the church' there's an issue but not when religion invades politics?
3901,Negative,"You can't be pro-life AND have watched that 2 hour abortion last night.
#GOPDebate #forkedtongue #IseeOrangePeople"
3902,Positive,Passion of the #GOPDebate #ReligiousUpaMovie
3903,Negative,"#Trump lowered the bar for #Jeb, who smacked his head into it  #GOPClownCar #GOPDebate"
3904,Negative,#GOPDebate Gov.Walker being pro-life means pro EVERY life! When you develop a uterus then you can have an opinion!
3905,Positive,Rubio actually answering a question about immigration. Color me impressed #GOPDebate
3906,Negative,RT @jaymelee1: Do I attempt to listen to the #gopdebate while driving or might it impair my judgement?
3907,Negative,RT @b140tweet: Rip  #AnnRichards... She has it right.. We needed her for President #GOPDEBATES #STOPRUSH http://t.co/uw5AXjzMXC
3908,Negative,"""...you once told a contestant on Celebrity Apprentice it would be a ""pretty picture"" to see her on her knees.""
#GOPDebate"
3909,Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
3910,Positive,Aaand the question about the racial divide goes to ... *drum roll* ... the only black man on stage. #GOPdebates #overit
3911,Positive,RT @SalMasekela: Straight Outta Compton commercial on Fox News. Well played. 🙌🏿 #GOPDebates
3912,Negative,"RT @SorahyaM: All I learned from the #GOPDebate is that everybody grew up poor, they're all sassy, and they don't know how to answer a ques…"
3913,Negative,RT @lizzwinstead: Mike Huckabee. You are broken. #GOPDebate
3914,Negative,RT @RWSurferGirl: Is it just me or does anyone else want to punch Chris Wallace in the face? #GOPDebate  #GOPDebates 🇺🇸
3915,Negative,"RT @P0TUS: Oh, this'll be good. Watch ten grown men channel God on live TV before they offer closing statements on screwing the poor. 
#GOP…"
3916,Negative,RT @alexandraheuser: YYYYY do NON Conservatives get all the coverage and PROMOTION on #FoxNews ??? http://t.co/FhoI6AOsWf #FoxNews #GOPDeba…
3917,Negative,"RT @TeaPainUSA: While Ted Cruz is speaking, all over America parents are tryin' to convince their 5 year olds that vampires aren't real. #G…"
3918,Positive,RT @patriotmom61: Rick Santorum at The Des Moines Register soapbox https://t.co/hfqVXAiqPh A boatrocker who got things done. #GOPDebate #Io…
3919,Negative,@keithalink Isn't it fun?! I'm wondering who's going to be kicked off the island? These guys are hilarious! #GOPDebates #StuporBowl
3920,Negative,@marilynarndt @princeofbordue1 I think @megynkelly was vicious and very unprofessional last night. She lost me also. #GOPDebates #PJNET
3921,Negative,"I'd really like to see how long each candidate was given to speak.  It didn't seem ""Fair &amp; Balanced"" at all. 🇺🇸 #GOPDebate  #GOPDebates"
3922,Positive,@NPR and I'm sure Immigrant Song came up #GOPdebate or #ledzepplin
3923,Negative,RT @Bipartisanism: Donald Trump at the #GOPDebate be like: http://t.co/Ak10IHSCXC
3924,Negative,"RT @brock_a_r: I wonder which candidate is going to be the first to accidentally call Ben Carson ""the help"" #GOPDebates"
3925,Negative,Remember when #obama did a good job? Hahah I don't  #GOPDebates
3926,Negative,"RT @SupermanHotMale: I lived here in Florida for 8 years under Jeb w bush and I swear, no more... #GopDebates"
3927,Negative,RT @RWSurferGirl: Tonight we learned that @GovChristie thinks he can remove our civil rights to fight terrorism. #GOPDebate  #GOPDebates
3928,Negative,RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …
3929,Negative,"RT @therightswrong: Head Of #RandPaul SuperPAC Indicted With 3 #RonPaul Staffers, Helped Pay Off state senator for endorsement #GOPDebate
h…"
3930,Negative,RT @jasper_deezy: Mike Huckabee quoting Limp Bizkit lyrics for his military talking points #BreakStuff #GOPDebates
3931,Positive,"You know when you finish a really good book and you wake up the next day wishing the wacky adventures would never end?
...the #GOPDebate"
3932,Positive,It sure was. #Huckabee delivered his message well.  #ImWithHuck #GOPDebate #th2016 #ccot #tcot #teaparty #pjnet https://t.co/DwPzCZZrRL
3933,Positive,Donald Trumps loyalty is to America and the American people. Not to a political party. @GOP #GOPDebates #tcot #pjnet #MakeAmericaGreatAgain!
3934,Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
3935,Negative,Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates
3936,Negative,"#GOPDebate  Hangover, and I don't drink"
3937,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3938,Positive,I like @RealBenCarson a lot too but wish he had more air time to express his views. #GOPdebates 🇺🇸
3939,Positive,This #GOPDebate is keeping the spray tan industry alive and thriving! #bringingjobs
3940,Negative,"RT @TheMorningSpew: Having watched the #GOPDebate, I can honestly say that I would vote for a rock before I would vote for any Democrat. So…"
3941,Positive,#Carly2016 : @CarlyFiorina was 'dominant' winner of #GOPdebate night. @ChrisStirewalt http://t.co/72u0fGvb9J
3942,Negative,"RT @renomarky: ☑ never watch #KellyFile again

1. #GOPDebate questions 
2. Pandering to @DWStweets 
3. Making it about ratings not🇺🇸 http:/…"
3943,Negative,"RT @Kahuna_2010: Only thing not heard last night was 

“JERRY! JERRY! JERRY! JERRY! JERRY! JERRY! JERRY! JERRY!” #GOPDebate"
3944,Negative,How many famous people petulantly threatened to move to Canada if one of the debaters won? #GOPDebate #GOPDebates
3945,Negative,RT @RWSurferGirl: After @GovChristie hugged Obama he doesn't deserve to be on the stage tonight. 🇺🇸 #GOPDebates  #GOPDebates
3946,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
3947,Positive,Reagan was a democrat.  So if Trump changed from a democrat to a republican then I'm okay with that. #GOPDebates
3948,Negative,"RT @sallykohn: Hey look, it’s 10 men standing on a stage arguing why they should get to control women’s bodies and choices. #GOPDebate"
3949,Negative,"RT @Elevat0rLady: Hopped on FB, and saw my friends recap of the #GOPDebate ... She wins. http://t.co/tpszBViD8O"
3950,Positive,"RT @daveweigel: My wrap on Rand Paul’s first hour of debating, which let him have exactly the fight he wanted http://t.co/Q3DRK3WDc3 #GOPDe…"
3951,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3952,Negative,Is Megan Kelly asking a troll question? #GOPdebates
3953,Negative,RT @RWSurferGirl: I need to order another green apple martini to process what the hell just happened. 🇺🇸 #GOPDebate  #GOPDebates
3954,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
3955,Negative,RT @RWSurferGirl: Fox is cherry picking the candidates. Jeb gets the softball questions. 🇺🇸 #GOPDebates  #GOPDebates
3956,Positive,"I missed the #GOPDebate (driving The Mother Road) but I did take a very satisfying bowel movement in Bushland, Texas. http://t.co/e0HUW70rRR"
3957,Negative,I'm still convinced that no amount of sage in the world could've extinguished the bad energy and negative vibes at the #GOPDebate last night
3958,Positive,"RT @Polarinski: I have no doubt #CarlyFiorina has the stones to lead this country in a better direction.
 #GOPDebate"
3959,Negative,RT @ShanePaulNeil: Why are they handing Hillary the Dem nod? #earnthisdamnvoteorlose  #GOPDebate
3960,Negative,@megynkelly #GOPDebate Kelly is no role model doesn't speak for me or my prof friends Rosie? Now a real woman @CarlyFiorina Kelly is a poser
3961,Negative,RT @fightfor15: Total number of mentions of Min Wage in tonight's Rep debate: ZERO http://t.co/Vd2oBzdjgj #GOPDebate #FightFor15 http://t.c…
3962,Negative,RT @ChrisJZullo: Last night at the #GOPdebate all I saw was a bunch of Rich and Old despots with ZERO solutions to our nations problems #un…
3963,Negative,"RT @SupermanHotMale: Dear Fox News, here is my closing argument, None of the Gop candidates said anything to help the suffering of women or…"
3964,Negative,"""When you find mush, you push""  We agree with Jack from @AandGShow about that being a great motto in life! (from last night's #GOPDebate)"
3965,Negative,"RT @SupermanHotMale: Total Theatre on Fox news tonight, no basis in fact at all... it's all garbage. #GopDebates"
3966,Negative,"So,we can poke at #trump for the nasty things he said to Rosie in the past but, who hadn't shot off their mouth?#skeletons anyone?#GOPDebate"
3967,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
3968,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
3969,Negative,#Boomers R #Smart They know how to use #Internet for #GOPDebate http://t.co/IGP8WWnzCu     #Cosproject #jpnet http://t.co/MT79hetQXS
3970,Negative,Any SANE person was impressed w/the Quality of the Moderators at #GOPDebates. But Agenda Driven Haters gotta HATE.  https://t.co/3dc47McBht
3971,Negative,"RT @GovtsTheProblem: Did @FoxNews, which excluded the only woman in @GOP field from first debate, ask Trump if he was part of the ""war on w…"
3972,Negative,RT @RWSurferGirl: Fox News is obviously trying to influence the makeup of the Republican field. 🇺🇸  #GOPDebate  #GOPDebates
3973,Negative,RT @RWSurferGirl: So @megynkelly posed for adult pictures.should we bring that up? #GOPDebate  #GOPDebates
3974,Negative,RT @RWSurferGirl: Jeb Bush reminds me of elevator music. You hear it but you don't listen. 🇺🇸 #GOPDebate  #GOPDebates
3975,Positive,RT @DonnieWahlberg: Enjoyed the #GOPDebates and am looking forward to the #DemocraticDebates next.
3976,Negative,RT @Jacque_Isaacs: Who here is only a republican because it's politically convenient at the moment? #GOP2016debate #GOPDebate http://t.co/o…
3977,Negative,RT @Wolfofwarrenst: Just in case you missed the #GOPDebate last night here's a quick recap http://t.co/h03MRzVFWB
3978,Negative,"In the #GOPdebate I noticed that they kept talking about policies in terms of being conservative or not, as opposed to good or not."
3979,Positive,@linnyitssn His ace in the hole is Ohio.  Republicans must win OHIO. #GOPDebate
3980,Negative,Protip: Don't watch #GOPDebate and drink. Never. Again. (I don't remember how I got to bed.)
3981,Positive,Tell 'em Trump #GOPDebates @cspanwj
3982,Negative,RT @_HerKing__: For your entertainment. #GOPDebates http://t.co/rEAvo89PTj
3983,Positive,RT @ericstonestreet: Trump has Cam hands. #GOPDebates
3984,Negative,"Hey media - If you ignore Trump, maybe he'll go away. Just a hint. #honeybadger #GOPDebate"
3985,Negative,Hating things with impunity is the new combover. #selfquoting #DumpTrump #leaverosieouttathis #GOPDebate
3986,Positive,"Nice work @megynkelly asking tough q's in #GOPDebate. Speaking for young Rep's, @marcorubio @johnkasich @realbencarson won some hearts!"
3987,Negative,RT @RWSurferGirl: We the American people pick the next President of United States not FOX News 🇺🇸 #GOPDebate  #GOPDebates
3988,Positive,"""And of course, I'm talking about Hillary Clinton"" was the most Reaganesque moment last night. Good job, #Huckabee! #GOPDebate"
3989,Negative,"@daveohoots I've avoided the debates personally, the #GOPDebate just looked like a clown circus."
3990,Positive,#GOPDebates ben Carson loves to use his gifted hands to speak
3991,Negative,RT @jsn2007: They fixed the VA yet there are no mammogram machines at our only VA hospital. #gopdebates
3992,Negative,RT @theonlyadult: This is the @POTUS we have now. One of the people on TV now might be the next one. RIP everything. #GOPDebate http://t.co…
3993,Negative,#GOPDebate: Trump Trumped! http://t.co/zWIN7P0vhH
3994,Positive,RT @Wilberforce91: One of my favorite things about the #GOPDebates is how many of these candidates I've seen in person. Thanks @LibertyU &amp; …
3995,Negative,"RT @davidbadash: Huckabee, wrong again...

http://t.co/nsd4a6AYzg #GOPDebate #trans #LGBT #gay #noh8 http://t.co/Wt7XKhvoAA"
3996,Positive,RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates
3997,Negative,RT @monaeltahawy: I'll tell you the one good thing about #GOPDebates: candidates are tripping over themselves to outdo each other in sexism…
3998,Negative,"RT @AnnemarieWeers: @PoetinPoeville Did you know there are aprx 700 laws governing women's bodies and not one governing men's? It's true.
#…"
3999,Negative,RT @jsc1835: #GOPDebates  I'd like to see this bunch of losers work a construction until they're 70 years old.  #Delusional
4000,Negative,"RT @kharyp: When #HillaryClinton calls men ""Fat Pigs, Dogs, Slobs, And Disgusting Animals’ get back to me! #GOPDebate https://t.co/jL4MxQ2J…"
4001,Negative,"""@RubinReport: Finally got it. Trump looks like Boss Nass from #StarWars. #GOPDebate http://t.co/e8GzqNhK9r"" @rockstarfudge"
4002,Negative,RT @NancyLeeGrahn: Woke up to screaming about Mexicans and vaginas. NEVER fall asleep with Fox News channel on. #GOPDebate
4003,Positive,"""I'm surprised this is being advertised right now."" - My gf on #StraightOuttaCompton ads during #GOPDebates"
4004,Negative,RT @AndrewCryer1: I think that @BernieSanders won the #GOPDebate with #DebateWithBernie. Who ever thought of that idea deserves a golden st…
4005,Negative,the number of times that ronald reagan is mentioned in the #GOPDebate is TOO DAMN HIGH
4006,Negative,RT @pattonoswalt: I want @BernieSanders to quietly walk out onto this stage and five-point-palm-exploding-heart all these hollow beasts. #G…
4007,Negative,"IT IS OVER!!!!  Doubt I""ll be able to take many more  #GOPDebates.  Not enough popcorn in the universe!  Onto the #DailyShow. #minnows"
4008,Negative,RT @RWSurferGirl: The candidates don't have to attack @realDonaldTrump Fox is doing it for them by stoping him from speaking. 🇺🇸 #GOPDebate…
4009,Negative,"RT @lizadonnelly: Visually, the #GOPDebate could have used more dancing, IMHO. My cartoon roundup in tweet drawing!! https://t.co/SJiZ8A2ZUf"
4010,Negative,How many times will Reagan be brought up?? #GOPDebates
4011,Negative,#Dems have gone from denying the fact they are #Socialist to openly supporting one. #GOPDebates #tcot #rednationrising #GOP #BernieSanders
4012,Negative,"Didn't like #ScottWalker before the debates, like him even less now. #GOPDebate"
4013,Negative,RT @RWSurferGirl: I'm really really really pissed off at FOX News for what they did to @realDonaldTrump #GOPDebate  #GOPDebates 🇺🇸
